resampling_technique;hyperparameters;accuracy;precision;recall;f1-score
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};96.57%;93.70%;99.86%;96.68%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};96.92%;94.31%;99.86%;97.01%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};96.43%;93.97%;99.24%;96.53%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};96.47%;93.86%;99.45%;96.57%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.50%;92.01%;99.65%;95.68%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};96.19%;93.37%;99.45%;96.31%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.40%;91.78%;99.72%;95.59%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};95.26%;91.97%;99.17%;95.43%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};94.88%;92.02%;98.27%;95.04%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};95.85%;92.38%;99.93%;96.01%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};94.36%;90.46%;99.17%;94.62%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};94.36%;91.08%;98.34%;94.57%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};96.09%;92.80%;99.93%;96.23%
